Feature,Mean_SHAP_Value,Rank
chronic_disease_count,7.182434232257922,1
hypertension,3.5291571105087134,2
obesity,3.0990090180382293,3
diabetes,2.886305204239346,4
pneumonia,1.4279504469984876,5
age,0.905252549005609,6
cardiovascular,0.77770176291276,7
copd,0.7264757502451711,8
other_disease,0.6363926605952028,9
renal_chronic,0.6229243590090968,10
elderly_pneumonia,0.2530918055988203,11
sex,0.2338952728858454,12
age_group,0.19796983279514188,13
high_risk_triad,0.054924025950618224,14
obesity_diabetes,0.041747575869272226,15
diabetes_hypertension,0.027749843934396428,16
renal_hypertension,0.022974015556557738,17
copd_pneumonia,0.014341419107829807,18
male_elderly,0.0027179624747894256,19
cardiovascular_elderly,0.0019703672040894938,20
