iter	Passed	Remaining
0	211	63231
1	266	39747
2	306	30312
3	339	25124
4	371	21923
5	398	19536
6	431	18062
7	461	16854
8	488	15810
9	520	15084
10	552	14506
11	578	13878
12	602	13312
13	627	12811
14	652	12406
15	678	12037
16	702	11702
17	727	11403
18	752	11128
19	779	10910
20	806	10717
21	839	10604
22	889	10711
23	939	10804
24	988	10873
25	1019	10747
26	1051	10627
27	1080	10500
28	1107	10349
29	1134	10210
30	1161	10075
31	1186	9934
32	1216	9841
33	1247	9761
34	1276	9662
35	1304	9569
36	1335	9490
37	1364	9408
38	1396	9348
39	1431	9307
40	1471	9295
41	1508	9268
42	1542	9219
43	1574	9159
44	1607	9108
45	1641	9062
46	1682	9055
47	1724	9054
48	1764	9036
49	1811	9057
50	1848	9024
51	1884	8986
52	1923	8962
53	1968	8966
54	2012	8963
55	2044	8909
56	2073	8840
57	2105	8783
58	2137	8730
59	2181	8726
60	2231	8744
61	2283	8765
62	2336	8787
63	2379	8776
64	2451	8862
65	2494	8843
66	2527	8789
67	2564	8748
68	2591	8675
69	2617	8600
70	2643	8525
71	2671	8458
72	2700	8398
73	2726	8328
74	2754	8264
75	2780	8193
76	2808	8132
77	2836	8071
78	2863	8011
79	2894	7958
80	2921	7899
81	2952	7850
82	2983	7800
83	3009	7739
84	3042	7696
85	3092	7696
86	3150	7712
87	3197	7703
88	3236	7673
89	3266	7622
90	3296	7570
91	3326	7519
92	3351	7459
93	3375	7396
94	3401	7339
95	3428	7286
96	3455	7231
97	3482	7179
98	3510	7127
99	3542	7084
100	3575	7044
101	3605	6999
102	3636	6954
103	3666	6910
104	3700	6873
105	3730	6827
106	3757	6777
107	3783	6726
108	3812	6680
109	3840	6632
110	3869	6588
111	3900	6546
112	3933	6508
113	3966	6471
114	3998	6433
115	4030	6392
116	4064	6357
117	4095	6316
118	4127	6277
119	4154	6232
120	4184	6189
121	4213	6147
122	4238	6098
123	4265	6054
124	4292	6009
125	4317	5962
126	4342	5915
127	4369	5871
128	4394	5825
129	4422	5783
130	4452	5743
131	4484	5707
132	4515	5669
133	4544	5629
134	4577	5594
135	4610	5560
136	4639	5519
137	4665	5477
138	4694	5437
139	4720	5394
140	4745	5350
141	4769	5306
142	4792	5261
143	4820	5221
144	4846	5181
145	4875	5142
146	4903	5104
147	4930	5064
148	4957	5024
149	4987	4987
150	5015	4948
151	5044	4912
152	5074	4875
153	5102	4837
154	5131	4800
155	5158	4761
156	5184	4722
157	5214	4686
158	5238	4645
159	5273	4614
160	5310	4585
161	5360	4566
162	5404	4542
163	5440	4511
164	5469	4475
165	5496	4436
166	5521	4396
167	5551	4361
168	5576	4322
169	5603	4284
170	5628	4245
171	5654	4207
172	5681	4170
173	5706	4132
174	5735	4097
175	5766	4062
176	5799	4030
177	5830	3996
178	5867	3966
179	5897	3931
180	5927	3896
181	5959	3864
182	5990	3830
183	6021	3795
184	6056	3764
185	6090	3732
186	6121	3699
187	6157	3668
188	6189	3635
189	6222	3602
190	6250	3567
191	6283	3534
192	6313	3500
193	6342	3465
194	6373	3432
195	6404	3398
196	6435	3364
197	6467	3331
198	6501	3299
199	6535	3267
200	6565	3233
201	6595	3199
202	6627	3166
203	6660	3134
204	6695	3102
205	6732	3072
206	6768	3040
207	6806	3010
208	6844	2980
209	6881	2949
210	6910	2914
211	6941	2881
212	6981	2851
213	7015	2819
214	7048	2786
215	7077	2752
216	7112	2720
217	7144	2687
218	7175	2653
219	7208	2621
220	7238	2587
221	7273	2555
222	7310	2524
223	7339	2490
224	7367	2455
225	7402	2423
226	7434	2390
227	7462	2356
228	7494	2323
229	7530	2291
230	7594	2268
231	7643	2240
232	7697	2213
233	7730	2180
234	7757	2145
235	7794	2113
236	7826	2080
237	7860	2047
238	7894	2014
239	7925	1981
240	7957	1948
241	7991	1915
242	8024	1882
243	8052	1848
244	8081	1814
245	8110	1780
246	8143	1747
247	8174	1714
248	8204	1680
249	8234	1646
250	8267	1613
251	8301	1581
252	8336	1548
253	8371	1516
254	8405	1483
255	8439	1450
256	8470	1417
257	8499	1383
258	8528	1350
259	8562	1317
260	8591	1283
261	8621	1250
262	8654	1217
263	8688	1184
264	8721	1151
265	8751	1118
266	8784	1085
267	8813	1052
268	8842	1018
269	8870	985
270	8906	953
271	8940	920
272	8977	887
273	9008	854
274	9046	822
275	9083	789
276	9120	757
277	9153	724
278	9182	691
279	9210	657
280	9241	624
281	9267	591
282	9293	558
283	9316	524
284	9343	491
285	9367	458
286	9394	425
287	9426	392
288	9462	360
289	9491	327
290	9524	294
291	9557	261
292	9588	229
293	9612	196
294	9638	163
295	9664	130
296	9691	97
297	9716	65
298	9742	32
299	9769	0
